danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,href,analysis_url,duration_ms,time_signature,artists,popularity,name,release_date,album
0.6,0.867,6,-5.647,1,0.0263,0.174,0.415,0.117,0.501,105.972,audio_features,0ZLHBXIaP9kPbHkyTtM6of,spotify:track:0ZLHBXIaP9kPbHkyTtM6of,https://api.spotify.com/v1/tracks/0ZLHBXIaP9kPbHkyTtM6of,https://api.spotify.com/v1/audio-analysis/0ZLHBXIaP9kPbHkyTtM6of,72207,4,GFRIEND,23,Intro (Belief),2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.711,0.928,8,-1.666,0,0.0484,0.126,0.0,0.335,0.577,114.012,audio_features,5ZO6NQ6a9Ass5Ym0McTOwl,spotify:track:5ZO6NQ6a9Ass5Ym0McTOwl,https://api.spotify.com/v1/tracks/5ZO6NQ6a9Ass5Ym0McTOwl,https://api.spotify.com/v1/audio-analysis/5ZO6NQ6a9Ass5Ym0McTOwl,211972,4,GFRIEND,36,Love Whisper,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.534,0.853,6,-3.009,1,0.0342,0.0341,0.0,0.289,0.39,104.338,audio_features,5lKCWT7RgnodM91X8g7Fa6,spotify:track:5lKCWT7RgnodM91X8g7Fa6,https://api.spotify.com/v1/tracks/5lKCWT7RgnodM91X8g7Fa6,https://api.spotify.com/v1/audio-analysis/5lKCWT7RgnodM91X8g7Fa6,200237,4,GFRIEND,50,Summer Rain,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.573,0.933,4,-2.057,1,0.045,0.0632,0.0,0.155,0.53,119.968,audio_features,7nUaEmU2Cc0MiwFQEWR4Ht,spotify:track:7nUaEmU2Cc0MiwFQEWR4Ht,https://api.spotify.com/v1/tracks/7nUaEmU2Cc0MiwFQEWR4Ht,https://api.spotify.com/v1/audio-analysis/7nUaEmU2Cc0MiwFQEWR4Ht,232445,4,GFRIEND,43,Rainbow,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.633,0.916,5,-2.957,1,0.0546,0.0117,0.0,0.378,0.582,112.941,audio_features,52DK1PIc4hgXbypiWV0ylW,spotify:track:52DK1PIc4hgXbypiWV0ylW,https://api.spotify.com/v1/tracks/52DK1PIc4hgXbypiWV0ylW,https://api.spotify.com/v1/audio-analysis/52DK1PIc4hgXbypiWV0ylW,197902,4,GFRIEND,30,Ave Maria,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.684,0.898,6,-1.242,0,0.0402,0.208,0.0,0.0403,0.487,122.973,audio_features,5jla5wVAYsBNGk7XJNvl2U,spotify:track:5jla5wVAYsBNGk7XJNvl2U,https://api.spotify.com/v1/tracks/5jla5wVAYsBNGk7XJNvl2U,https://api.spotify.com/v1/audio-analysis/5jla5wVAYsBNGk7XJNvl2U,214058,4,GFRIEND,29,One-Half,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.709,0.896,4,-2.072,0,0.0371,0.0694,0.0,0.244,0.679,115.995,audio_features,29KT7MwopQ4v1KynHo5Mki,spotify:track:29KT7MwopQ4v1KynHo5Mki,https://api.spotify.com/v1/tracks/29KT7MwopQ4v1KynHo5Mki,https://api.spotify.com/v1/audio-analysis/29KT7MwopQ4v1KynHo5Mki,179987,4,GFRIEND,26,Life Is a Party,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.593,0.886,1,-3.301,1,0.0443,0.0243,0.0,0.303,0.622,127.992,audio_features,3xmlRs6DAE7Hn8IEBM3vXd,spotify:track:3xmlRs6DAE7Hn8IEBM3vXd,https://api.spotify.com/v1/tracks/3xmlRs6DAE7Hn8IEBM3vXd,https://api.spotify.com/v1/audio-analysis/3xmlRs6DAE7Hn8IEBM3vXd,206103,4,GFRIEND,27,Red Umbrella,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.587,0.719,5,-5.503,0,0.0481,0.431,0.0,0.37,0.373,133.831,audio_features,1IMJhIoPTFX7FiaChKNeWt,spotify:track:1IMJhIoPTFX7FiaChKNeWt,https://api.spotify.com/v1/tracks/1IMJhIoPTFX7FiaChKNeWt,https://api.spotify.com/v1/audio-analysis/1IMJhIoPTFX7FiaChKNeWt,223825,4,GFRIEND,29,Falling Asleep Again,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.442,0.803,6,-5.315,1,0.0282,0.000287,0.794,0.256,0.374,104.143,audio_features,3vbgyLLg5seRyUYnRjFQ5G,spotify:track:3vbgyLLg5seRyUYnRjFQ5G,https://api.spotify.com/v1/tracks/3vbgyLLg5seRyUYnRjFQ5G,https://api.spotify.com/v1/audio-analysis/3vbgyLLg5seRyUYnRjFQ5G,200199,4,GFRIEND,24,Summer Rain - Instrumental version,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.6,0.867,6,-5.647,1,0.0263,0.174,0.415,0.117,0.501,105.972,audio_features,1Mz0AxJJzFRiXIguG0oNkK,spotify:track:1Mz0AxJJzFRiXIguG0oNkK,https://api.spotify.com/v1/tracks/1Mz0AxJJzFRiXIguG0oNkK,https://api.spotify.com/v1/audio-analysis/1Mz0AxJJzFRiXIguG0oNkK,72207,4,GFRIEND,24,INTRO (BELIEF),2017-08-01,GFRIEND The 5th Mini Album <PARALLEL>
0.711,0.928,8,-1.666,0,0.0484,0.126,0.0,0.335,0.577,114.012,audio_features,1xwnvVY9gHdo69PuGQkG1U,spotify:track:1xwnvVY9gHdo69PuGQkG1U,https://api.spotify.com/v1/tracks/1xwnvVY9gHdo69PuGQkG1U,https://api.spotify.com/v1/audio-analysis/1xwnvVY9gHdo69PuGQkG1U,211972,4,GFRIEND,54,LOVE WHISPER,2017-08-01,GFRIEND The 5th Mini Album <PARALLEL>
0.633,0.916,5,-2.957,1,0.0546,0.0117,0.0,0.378,0.582,112.941,audio_features,2R4C818JJUkWkDkt3Zteuo,spotify:track:2R4C818JJUkWkDkt3Zteuo,https://api.spotify.com/v1/tracks/2R4C818JJUkWkDkt3Zteuo,https://api.spotify.com/v1/audio-analysis/2R4C818JJUkWkDkt3Zteuo,197902,4,GFRIEND,37,AVE MARIA,2017-08-01,GFRIEND The 5th Mini Album <PARALLEL>
0.684,0.898,6,-1.242,0,0.0402,0.208,0.0,0.0403,0.487,122.973,audio_features,5kmT53VIrf7sC2J2ja0DpA,spotify:track:5kmT53VIrf7sC2J2ja0DpA,https://api.spotify.com/v1/tracks/5kmT53VIrf7sC2J2ja0DpA,https://api.spotify.com/v1/audio-analysis/5kmT53VIrf7sC2J2ja0DpA,214058,4,GFRIEND,34,ONE-HALF,2017-08-01,GFRIEND The 5th Mini Album <PARALLEL>
0.709,0.896,4,-2.072,0,0.0371,0.0694,0.0,0.244,0.679,115.995,audio_features,1xG5krI48MsenYWnbfimxK,spotify:track:1xG5krI48MsenYWnbfimxK,https://api.spotify.com/v1/tracks/1xG5krI48MsenYWnbfimxK,https://api.spotify.com/v1/audio-analysis/1xG5krI48MsenYWnbfimxK,179987,4,GFRIEND,29,LIFE IS A PARTY,2017-08-01,GFRIEND The 5th Mini Album <PARALLEL>
0.593,0.886,1,-3.301,1,0.0443,0.0243,0.0,0.303,0.622,127.992,audio_features,0fSnohDnOhYriuR8NK5tZh,spotify:track:0fSnohDnOhYriuR8NK5tZh,https://api.spotify.com/v1/tracks/0fSnohDnOhYriuR8NK5tZh,https://api.spotify.com/v1/audio-analysis/0fSnohDnOhYriuR8NK5tZh,206103,4,GFRIEND,27,RED UMBRELLA,2017-08-01,GFRIEND The 5th Mini Album <PARALLEL>
0.587,0.719,5,-5.503,0,0.0481,0.431,0.0,0.37,0.373,133.831,audio_features,7nWhQZq4yCL9vsbgsmdCri,spotify:track:7nWhQZq4yCL9vsbgsmdCri,https://api.spotify.com/v1/tracks/7nWhQZq4yCL9vsbgsmdCri,https://api.spotify.com/v1/audio-analysis/7nWhQZq4yCL9vsbgsmdCri,223825,4,GFRIEND,33,FALLING ASLEEP AGAIN,2017-08-01,GFRIEND The 5th Mini Album <PARALLEL>
0.68,0.901,11,-3.131,1,0.0382,0.00476,0.772,0.335,0.51,114.029,audio_features,0WIMy9uHrtrSbKOVh5Yomz,spotify:track:0WIMy9uHrtrSbKOVh5Yomz,https://api.spotify.com/v1/tracks/0WIMy9uHrtrSbKOVh5Yomz,https://api.spotify.com/v1/audio-analysis/0WIMy9uHrtrSbKOVh5Yomz,211972,4,GFRIEND,22,LOVE WHISPER (Inst.),2017-08-01,GFRIEND The 5th Mini Album <PARALLEL>
0.751,0.691,9,-7.036,1,0.0429,0.000754,0.863,0.0956,0.64,125.039,audio_features,6rCPeAupewiN0sSjUlO2Co,spotify:track:6rCPeAupewiN0sSjUlO2Co,https://api.spotify.com/v1/tracks/6rCPeAupewiN0sSjUlO2Co,https://api.spotify.com/v1/audio-analysis/6rCPeAupewiN0sSjUlO2Co,66187,4,GFRIEND,26,INTRO,2016-07-11,GFRIEND The 1st Album 'LOL'
0.686,0.9,8,-1.806,1,0.0462,0.138,0.0,0.259,0.681,115.017,audio_features,1nhzA2olJiEdrnaRj3qMmj,spotify:track:1nhzA2olJiEdrnaRj3qMmj,https://api.spotify.com/v1/tracks/1nhzA2olJiEdrnaRj3qMmj,https://api.spotify.com/v1/audio-analysis/1nhzA2olJiEdrnaRj3qMmj,198146,4,GFRIEND,31,Fall in Love,2016-07-11,GFRIEND The 1st Album 'LOL'
0.642,0.957,6,-0.944,0,0.05,0.0438,0.0,0.273,0.801,125.008,audio_features,2Oi0IO8K4BEbhPUdWcjNmv,spotify:track:2Oi0IO8K4BEbhPUdWcjNmv,https://api.spotify.com/v1/tracks/2Oi0IO8K4BEbhPUdWcjNmv,https://api.spotify.com/v1/audio-analysis/2Oi0IO8K4BEbhPUdWcjNmv,193580,4,GFRIEND,55,NAVILLERA,2016-07-11,GFRIEND The 1st Album 'LOL'
0.728,0.869,2,-2.412,1,0.0729,0.128,0.0,0.191,0.597,113.03,audio_features,3f8hlbcbaUvwIZcOkbiFPh,spotify:track:3f8hlbcbaUvwIZcOkbiFPh,https://api.spotify.com/v1/tracks/3f8hlbcbaUvwIZcOkbiFPh,https://api.spotify.com/v1/audio-analysis/3f8hlbcbaUvwIZcOkbiFPh,209789,4,GFRIEND,32,LOL,2016-07-11,GFRIEND The 1st Album 'LOL'
0.608,0.911,7,-1.979,0,0.0351,0.155,1.04e-06,0.329,0.783,171.934,audio_features,0n1590rGW0BIqHP4kZIANx,spotify:track:0n1590rGW0BIqHP4kZIANx,https://api.spotify.com/v1/tracks/0n1590rGW0BIqHP4kZIANx,https://api.spotify.com/v1/audio-analysis/0n1590rGW0BIqHP4kZIANx,217027,4,GFRIEND,30,Distance,2016-07-11,GFRIEND The 1st Album 'LOL'
0.563,0.954,4,-1.816,1,0.0469,0.0377,0.0,0.102,0.878,154.917,audio_features,2ef4at7BVtosVfvJcoHP0e,spotify:track:2ef4at7BVtosVfvJcoHP0e,https://api.spotify.com/v1/tracks/2ef4at7BVtosVfvJcoHP0e,https://api.spotify.com/v1/audio-analysis/2ef4at7BVtosVfvJcoHP0e,221292,4,GFRIEND,32,Water Flower,2016-07-11,GFRIEND The 1st Album 'LOL'
0.421,0.919,7,-2.558,1,0.268,0.537,0.0,0.51,0.544,199.705,audio_features,3b6Qflk9k15pDfonxtmMR6,spotify:track:3b6Qflk9k15pDfonxtmMR6,https://api.spotify.com/v1/tracks/3b6Qflk9k15pDfonxtmMR6,https://api.spotify.com/v1/audio-analysis/3b6Qflk9k15pDfonxtmMR6,207003,4,GFRIEND,40,Mermaid,2016-07-11,GFRIEND The 1st Album 'LOL'
0.604,0.613,5,-4.825,0,0.0552,0.332,0.0,0.0701,0.469,150.043,audio_features,1XlD8jVDBiMzTmOkoSNQ6d,spotify:track:1XlD8jVDBiMzTmOkoSNQ6d,https://api.spotify.com/v1/tracks/1XlD8jVDBiMzTmOkoSNQ6d,https://api.spotify.com/v1/audio-analysis/1XlD8jVDBiMzTmOkoSNQ6d,211105,4,GFRIEND,34,Sunshine,2016-07-11,GFRIEND The 1st Album 'LOL'
0.715,0.716,6,-4.802,1,0.0408,0.339,0.0,0.0759,0.494,127.934,audio_features,0iNFkX82Qba4d3MoT9BKz0,spotify:track:0iNFkX82Qba4d3MoT9BKz0,https://api.spotify.com/v1/tracks/0iNFkX82Qba4d3MoT9BKz0,https://api.spotify.com/v1/audio-analysis/0iNFkX82Qba4d3MoT9BKz0,210275,4,GFRIEND,34,Compas,2016-07-11,GFRIEND The 1st Album 'LOL'
0.793,0.878,7,-4.504,1,0.0507,0.103,0.0,0.103,0.521,108.009,audio_features,0vYELUuujkyoYvM8rOZrPo,spotify:track:0vYELUuujkyoYvM8rOZrPo,https://api.spotify.com/v1/tracks/0vYELUuujkyoYvM8rOZrPo,https://api.spotify.com/v1/audio-analysis/0vYELUuujkyoYvM8rOZrPo,197762,4,GFRIEND,31,Click,2016-07-11,GFRIEND The 1st Album 'LOL'
0.68,0.916,1,-2.926,0,0.0409,0.0234,0.0,0.187,0.551,104.987,audio_features,44UIW3CCKgESBf9RxiknyX,spotify:track:44UIW3CCKgESBf9RxiknyX,https://api.spotify.com/v1/tracks/44UIW3CCKgESBf9RxiknyX,https://api.spotify.com/v1/audio-analysis/44UIW3CCKgESBf9RxiknyX,229963,4,GFRIEND,40,Gone with the wind,2016-07-11,GFRIEND The 1st Album 'LOL'
0.607,0.934,6,-3.021,0,0.0405,0.000491,0.912,0.27,0.8,125.039,audio_features,0uzQbLX1eEXdU5FXD6ISOD,spotify:track:0uzQbLX1eEXdU5FXD6ISOD,https://api.spotify.com/v1/tracks/0uzQbLX1eEXdU5FXD6ISOD,https://api.spotify.com/v1/audio-analysis/0uzQbLX1eEXdU5FXD6ISOD,193580,4,GFRIEND,23,NAVILLERA - Instrumental version,2016-07-11,GFRIEND The 1st Album 'LOL'
0.453,0.754,5,-6.02,0,0.0329,0.000882,0.405,0.0862,0.0511,112.261,audio_features,5VQIj5KivzyJPy1F1IFl82,spotify:track:5VQIj5KivzyJPy1F1IFl82,https://api.spotify.com/v1/tracks/5VQIj5KivzyJPy1F1IFl82,https://api.spotify.com/v1/audio-analysis/5VQIj5KivzyJPy1F1IFl82,76829,4,GFRIEND,25,Intro (Snowflake),2016-01-25,SNOWFLAKE
0.613,0.912,8,-2.464,1,0.0366,0.152,0.0,0.111,0.734,112.005,audio_features,3CVeGXpoPKJQ9JuhPp3mpL,spotify:track:3CVeGXpoPKJQ9JuhPp3mpL,https://api.spotify.com/v1/tracks/3CVeGXpoPKJQ9JuhPp3mpL,https://api.spotify.com/v1/audio-analysis/3CVeGXpoPKJQ9JuhPp3mpL,209105,4,GFRIEND,58,Rough,2016-01-25,SNOWFLAKE
0.696,0.865,5,-2.711,1,0.0629,0.164,0.0,0.0747,0.807,104.962,audio_features,1opNjHif7khRzFruODfbcY,spotify:track:1opNjHif7khRzFruODfbcY,https://api.spotify.com/v1/tracks/1opNjHif7khRzFruODfbcY,https://api.spotify.com/v1/audio-analysis/1opNjHif7khRzFruODfbcY,188332,4,GFRIEND,31,Say My Name,2016-01-25,SNOWFLAKE
0.721,0.899,11,-4.142,0,0.0582,0.036,0.0,0.908,0.579,109.985,audio_features,7DtzD0e13U040fJjyDeTnE,spotify:track:7DtzD0e13U040fJjyDeTnE,https://api.spotify.com/v1/tracks/7DtzD0e13U040fJjyDeTnE,https://api.spotify.com/v1/audio-analysis/7DtzD0e13U040fJjyDeTnE,188744,4,GFRIEND,38,Luv Star,2016-01-25,SNOWFLAKE
0.686,0.936,1,-1.78,1,0.0662,0.0578,0.0,0.154,0.549,121.006,audio_features,2D5BO4r3TEh71gs2puWXMU,spotify:track:2D5BO4r3TEh71gs2puWXMU,https://api.spotify.com/v1/tracks/2D5BO4r3TEh71gs2puWXMU,https://api.spotify.com/v1/audio-analysis/2D5BO4r3TEh71gs2puWXMU,217329,4,GFRIEND,31,Someday,2016-01-25,SNOWFLAKE
0.317,0.723,4,-3.879,1,0.0676,0.469,0.0,0.088,0.354,72.427,audio_features,2taJp1g8Zfc3mngIuwS8ke,spotify:track:2taJp1g8Zfc3mngIuwS8ke,https://api.spotify.com/v1/tracks/2taJp1g8Zfc3mngIuwS8ke,https://api.spotify.com/v1/audio-analysis/2taJp1g8Zfc3mngIuwS8ke,215949,4,GFRIEND,35,TRUST,2016-01-25,SNOWFLAKE
