danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,href,analysis_url,duration_ms,time_signature,artists,popularity,name,release_date,album
0.711,0.258,10,-8.956,0,0.0693,0.791,0.000879,0.101,0.423,75.007,audio_features,0osa745xwf5IKDD0jgVqxu,spotify:track:0osa745xwf5IKDD0jgVqxu,https://api.spotify.com/v1/tracks/0osa745xwf5IKDD0jgVqxu,https://api.spotify.com/v1/audio-analysis/0osa745xwf5IKDD0jgVqxu,174400,4,Louis The Child,23,World On Fire,2017-03-24,Love Is Alive EP
0.538,0.746,4,-8.596,1,0.184,0.00374,8.38e-06,0.0956,0.245,179.878,audio_features,6wOPzQooRQTwmdT4Xqb17s,spotify:track:6wOPzQooRQTwmdT4Xqb17s,https://api.spotify.com/v1/tracks/6wOPzQooRQTwmdT4Xqb17s,https://api.spotify.com/v1/audio-analysis/6wOPzQooRQTwmdT4Xqb17s,176013,4,Prismo,37,Heathens,2016-08-29,Heathens
0.571,0.853,5,-5.947,0,0.0357,0.0157,0.694,0.158,0.0522,100.068,audio_features,4XgIfTSrjbyLTa71j8HRva,spotify:track:4XgIfTSrjbyLTa71j8HRva,https://api.spotify.com/v1/tracks/4XgIfTSrjbyLTa71j8HRva,https://api.spotify.com/v1/audio-analysis/4XgIfTSrjbyLTa71j8HRva,184200,4,Conro,0,I Wanna Know,2016-08-17,I Wanna Know
0.478,0.634,0,-6.092,1,0.0728,0.395,0.00889,0.599,0.121,180.185,audio_features,7HSNDCmILAqYrMZh4tZgp4,spotify:track:7HSNDCmILAqYrMZh4tZgp4,https://api.spotify.com/v1/tracks/7HSNDCmILAqYrMZh4tZgp4,https://api.spotify.com/v1/audio-analysis/7HSNDCmILAqYrMZh4tZgp4,196010,4,Kasbo,0,Found You,2017-04-04,Found You
0.684,0.774,7,-5.951,1,0.188,0.26,0.0,0.108,0.448,84.991,audio_features,1VCHNbal0VtE2plMRzvoho,spotify:track:1VCHNbal0VtE2plMRzvoho,https://api.spotify.com/v1/tracks/1VCHNbal0VtE2plMRzvoho,https://api.spotify.com/v1/audio-analysis/1VCHNbal0VtE2plMRzvoho,175059,4,Louis The Child,59,Weekend,2016-07-01,Weekend
0.325,0.663,11,-5.869,0,0.074,0.0313,0.0101,0.0737,0.147,174.04,audio_features,1suR7O1Coqso76HSw1zVa9,spotify:track:1suR7O1Coqso76HSw1zVa9,https://api.spotify.com/v1/tracks/1suR7O1Coqso76HSw1zVa9,https://api.spotify.com/v1/audio-analysis/1suR7O1Coqso76HSw1zVa9,212288,4,Rootkit,0,Against the Sun,2014-10-01,Against the Sun
0.439,0.762,7,-5.907,0,0.0543,0.0235,1.79e-06,0.191,0.208,180.012,audio_features,69Wyude1SxNuKXCqwnjdln,spotify:track:69Wyude1SxNuKXCqwnjdln,https://api.spotify.com/v1/tracks/69Wyude1SxNuKXCqwnjdln,https://api.spotify.com/v1/audio-analysis/69Wyude1SxNuKXCqwnjdln,234367,4,ILLENIUM,32,Afterlife (EFL107) - Dabin Remix,2016-12-13,Electric For Life Episode 107
0.712,0.275,0,-15.273,0,0.16,0.102,0.000594,0.298,0.204,113.955,audio_features,3p40vNrddW0VamHkNNKCre,spotify:track:3p40vNrddW0VamHkNNKCre,https://api.spotify.com/v1/tracks/3p40vNrddW0VamHkNNKCre,https://api.spotify.com/v1/audio-analysis/3p40vNrddW0VamHkNNKCre,225293,4,smle,25,Breakfast Is Ready,2015-09-08,Reasons To
0.61,0.808,5,-4.018,0,0.0381,0.499,1.17e-05,0.0897,0.419,122.943,audio_features,4l7VZQZ8ycQFqMPFTTsLgv,spotify:track:4l7VZQZ8ycQFqMPFTTsLgv,https://api.spotify.com/v1/tracks/4l7VZQZ8ycQFqMPFTTsLgv,https://api.spotify.com/v1/audio-analysis/4l7VZQZ8ycQFqMPFTTsLgv,214787,4,Vicetone,0,Kaleidoscope,2016-11-04,Kaleidoscope
0.587,0.678,11,-5.357,0,0.0469,0.000117,0.223,0.0795,0.123,100.034,audio_features,6QBGMwu9ipwEfGT64dX8rY,spotify:track:6QBGMwu9ipwEfGT64dX8rY,https://api.spotify.com/v1/tracks/6QBGMwu9ipwEfGT64dX8rY,https://api.spotify.com/v1/audio-analysis/6QBGMwu9ipwEfGT64dX8rY,251414,4,Rootkit,0,Carry Me Away,2014-12-05,Carry Me Away
